Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
626,Param Wealth Managers LLP,265.45,"7,753.66","1,780.36",18628.43,2.67
627,PAREKH INVESTMENT SERVICES,89.6,"10,902.39",287.74,9417.98,0.92
628,Paresh Gopal Bhide,102.66,"1,419.62",781.89,7027.00,5.24
629,Paresh Shantilal Kariya,337.25,"27,709.19","1,529.64",14041.54,0.01
630,Parimal Sadashivrao Ade,168.39,"6,125.64","1,500.53",16385.01,2.85
631,Parita Sandeep Gandhi,54.62,"1,513.61",106.09,6290.17,7.03
632,Parth Shah,129.96,"9,776.70","2,998.07",12301.61,1.37
633,Paterson Securities Pvt Ltd,178.56,"9,992.29","1,947.72",29833.59,3.07
634,Pathik Shah,97.87,"3,936.81",580.01,11399.35,3.01
635,Pawan Gupta,50.9,"1,539.03","-1,384.77",11937.36,7.67
636,Pawan Kumar Agrawal,153.61,"7,645.98",317.68,16070.13,2.11
637,"Peakalpha Investment Services (P) Ltd.,",547.11,"42,228.44","22,267.45",63593.80,1.77
638,Peerless Financial Products Distribution LTD,71.46,"1,537.48",-815.8,5101.27,3.12
639,Pegasus Advisory Private Limited,161.18,"27,221.34","1,749.38",27119.27,1.04
640,Pelican Wealth Managers Pvt. Ltd.,62.91,"1,083.10","-1,581.05",11946.97,10.05
641,Pentagraph Partners,171.89,"9,797.26","4,309.12",20899.86,2.4
642,Perfect Investments,99.06,"3,013.13","1,711.58",9855.16,3.61
643,Pihas Mukesh Parikh,166.08,"3,101.02",968.31,13759.37,4.73
644,Pinakini Share & Stock Brokers Ltd,126.49,"46,491.07","-8,447.08",37320.69,0.62
645,Pioneer Client Associates Private Limited,"5,932.60","            3,24,800.38","23,426.63","           6,31,880.63 ",2.01
646,Pivotal Enterprises Private Limited,70.38,"50,261.55","-1,448.44",17280.44,0.32
647,Plan Ahead Wealth Advisors Pvt. Ltd.,169.85,"32,922.54","2,170.57",33102.19,0.96
648,PLC Securities Ltd,276.02,"10,338.54","-15,664.75",54390.25,4.94
649,PMPK WEALTH ADVISORS PVT LTD,272.06,"19,925.12","8,555.03",33233.78,2.02
650,Poddar Financial Services,173.24,"38,354.82",-350.19,23971.48,0.65
651,Pooja Aggarwal,69.55,"2,124.40",93.09,8295.60,4.1
652,Poornima Jain,174.08,449.97,"-2,494.32",15827.31,33.1
653,Porecha Global Securities Pvt Ltd,97.65,"6,578.61","1,193.42",11387.84,1.91
654,Power Pusher Financial Services LLP,356.18,"18,214.50","2,536.54",48095.66,2.8
655,Prabhudas Lilladher Pvt Ltd,153.6,"90,576.15","9,239.63",36203.35,0.36
656,Prajakt Dilip Bhandare,77.4,"12,261.25",-373.07,15952.78,1.37
657,Prakala Wealth Management Private Ltd,190.5,"8,913.21","3,940.05",16549.69,2.12
658,Prakash Hariram Lohana,139.41,"8,652.56","3,101.68",16925.59,2.18
659,Prakash Investments,144.75,"3,784.64","1,999.72",13231.22,3.79
660,Prakash Mahendra Thakkar,124.58,"5,224.34","1,663.37",15726.01,3.12
661,Pranav Anant Gadgil,97.71,"3,689.99","1,905.31",10625.40,3.15
662,Pranjal Apoorva Wagh,152.08,"15,456.21","5,406.92",15118.41,1.11
663,Pranjit Gogoi,51.48,"2,064.83","1,560.34",2761.55,1.64
664,Prasad R Sangam,117.37,"6,576.07","3,035.93",15304.35,2.61
665,Prashant Murlidhar Bagad,100.66,"3,241.95","1,122.08",12135.13,3.8
666,Praveen Mahabirprasad Dalmia,77.05,"3,321.56","1,489.81",10824.89,3.7
667,Premin Securities,132.09,"4,063.77",325.91,13616.54,3.54
668,Prescient Financial Solutions,526.95,"            1,05,223.59",-27.42,75452.48,0.72
669,Prime Gold Securities,112.02,"1,251.09",-57.24,9462.42,7.53
670,Prime Gold Wealth Management Services Pvt. Ltd.,122.79,"7,566.06","4,724.46",10770.50,1.76
671,Prime Research & Advisory Limited,407.25,"81,598.84","-48,756.06",28284.01,0.02
672,PRIME WEALTH SOLUTIONS,83.6,"8,188.19","-2,499.09",18166.40,2.94
673,Priti Ajit Kucheria,242.06,"15,027.48","3,965.84",26161.25,1.86
674,Priyanka Wealth Management Pvt Ltd,154.29,"6,003.34","3,757.08",16360.91,3.1
675,PROAFFLUENCE ADVISORY SERVICES PRIVATE LIMITED,112.28,"13,761.55","8,071.32",12913.54,1.4
676,Probin Agarwalla,139.5,"5,791.93","1,441.78",11714.82,2.18
677,Profit Mantra,120.44,"7,413.59","1,502.33",13713.72,2.09
678,PROINVEST WEALTH MANAGERS PVT LTD,196.21,"8,275.38","1,547.67",22089.80,2.94
679,Prokens Opesmetrics Pvt Ltd,95.48,"6,044.07","2,205.83",11598.30,2.16
680,PROLIFIC FINVEST PRIVATE LIMITED,136.84,"          17,24,344.77","-79,251.66","           1,95,242.02 ",0.04
681,Prudent Bull Wealth Management Private Limited,108.37,"6,584.68","3,920.87",8901.13,1.7
682,Prudent Corporate Advisory Services Ltd,"23,471.68","          11,37,715.56","            4,08,126.43","         19,03,333.67",1.88
683,PTIC (P) Ltd,400.29,"12,191.84","1,266.76",34594.90,2.92
684,PUNISKA INDUSTRIES PVT LTD,140.43,"70,583.46","12,916.64",23699.75,0.38
685,Punjab National Bank,421.87,"            3,53,001.76","-22,070.58",74008.42,0.16
686,Purnima Securities Pvt Ltd,167.75,"61,552.64","3,162.63",29900.18,0.53
687,PUROHIT CONSULTANCY LLP,517.96,"14,769.86","7,055.41",32468.62,2.42
688,Purplepond Investment Advisory Private Limited,176.84,"16,307.95","7,699.77",20403.38,1.47
689,Purushotham Reddy Pattubala,66.67,"            1,13,938.20",599.87,8378.63,0.03
690,PW Fund Managers Private Limited,128.51,"8,946.13","2,468.91",10281.67,1.26
691,Quadratic Financial Services Pvt Ltd,166.77,"9,884.63","4,153.55",22985.85,2.48
692,Quant Capital Advisors Private Limited,412.14,"23,093.96","-4,110.42",69396.90,3
693,Quantum Information Services Private Limited,55.02,"2,051.95",-585.81,14073.13,7.11
694,Quinstinct Advisory Pvt Ltd,54.88,"6,834.20","4,057.17",9881.36,1.84
695,R.L.P. Securities Pvt. Ltd.,221.63,"91,875.25","-15,641.42",70380.09,0.47
696,RACH INSURE INVEST,472.53,"19,032.49","5,102.92",36757.14,2.02
697,Rachit Consultants,420.95,"22,205.11",359.38,49562.65,2.29
698,Raedan Securities LLP,117.58,"20,538.39",443.15,18061.91,0.87
699,Rahul Sethia,174.32,"6,625.14","2,456.68",10885.93,1.89
700,Rainbow Consultancy,112.41,"21,306.44","1,679.12",17991.82,0.89
701,Rajaram Management Services Pvt Ltd,76.91,"7,750.73","-1,168.21",22841.40,2.75
702,Rajat Bhargava,207.48,"14,086.82","-1,635.06",26072.01,1.67
703,Rajat Khanna,371.96,"23,410.84",719.38,21764.51,0.94
704,Rajbir Singh,426.75,"22,507.24","4,689.09",54203.31,2.55
705,Rajeev Kumar Singh,98.81,"12,917.70",14.94,9056.12,0.73
706,Rajeev Murarka,127.74,"17,687.37","2,064.63",15564.73,0.98
707,Rajendra Pachare,166.71,"4,162.03","1,400.96",16525.92,4.23
708,Rajesh Kadam,78.65,"8,315.97","3,518.14",10427.74,1.4
709,Rajesh Kr Sodhani,132.74,"5,076.24","2,933.97",11550.82,2.5
710,Rajesh Kumar Bhutra,112.91,"4,923.72","2,161.53",9535.06,2.2
711,Rajesh Sarawgi,58.87,"3,817.51","1,912.39",11411.34,3.35
712,Rajesh Tuteja,160.3,"4,716.49","2,385.00",5788.00,1.51
713,Rajinder Pal Singh Anand,216.78,"2,971.71",955.86,28088.16,10.07
714,Rajiv Bose,172.59,"14,032.62",-145.7,6936.99,0.5
715,Rajiv Suri,78.55,"3,461.71",43.39,12602.89,3.8
716,Rakesh Pasricha,409.72,"10,812.66","1,920.08",42323.34,4.11
717,Ram Advisory Services Pvt Ltd,85.93,"2,305.87","1,111.63",10380.99,4.82
718,Ram Kishore Jha,115.62,"3,060.27","1,429.26",10490.36,3.69
719,Ramakrishna Kolluri,112.73,"3,493.77",890.26,10197.88,3.25
720,Ramesh Chand Maloo,520.26,"25,458.72","4,673.22",55641.95,2.33
721,Ramesh Chander Anand,58.49,"1,775.57",-746.29,5200.10,2.93
722,Ramesh Valab Nainani (Huf),126.93,"5,892.35","2,261.18",15423.68,2.76
723,Ramkumar H Barchha,197.57,"12,672.58","3,554.40",23614.98,2.05
724,Ranjan Chandok,71.33,"7,018.98","2,516.58",9654.35,1.66
725,Ranjan Simanchal Panigrahi,652.86,"            3,47,949.36","          -1,40,462.72 ",73208.33,0.04
726,Ranna Amit Thakkar,121.8,"3,007.26","1,521.05",10149.45,3.68
727,Rashmi Rajendra Pachare,92.47,"1,877.53",235.45,9825.99,5.46
728,Rashmi Thukral,565.38,"14,351.32","3,331.42",42647.57,3.2
729,Raunak Ramuka,117.13,"14,315.71","5,409.09",8704.66,0.68
730,Ravindra Rajendra Oberoi,308.09,"13,400.80","-1,181.13",45875.70,3.3
731,Raviraj Investments Corporate (India) Pvt Ltd,264.4,"5,570.95","2,063.73",23091.33,4.32
732,RBL Bank Limited,"1,015.24","            1,43,876.89","16,494.24","           1,33,133.60 ",0.97
733,RBM Investment Services,115.34,"6,879.90","2,183.15",12554.08,1.94
734,Relacs Investment & Financial Services Pvt Ltd,267.86,"10,334.53","3,703.29",29380.04,3.02
735,Relan Industrial Finance Ltd.,185.97,"            5,09,110.25","-3,914.89",24991.85,0.04
736,Reliable Investments,336.11,"8,496.49","4,811.91",31465.28,4.02
737,Reliance Securities Limited,447.37,"82,820.18","-26,583.44",83987.76,0.86
738,Reliance Wealth Management Limited,392.48,"56,565.17","-23,459.26",53938.63,0.72
739,RELIGARE BROKING LIMITED,51.71,"3,796.80","1,329.29",6229.80,4.45
740,Right Choice Investment Shoppe,85.71,"2,582.90","1,114.24",10678.25,4.41
741,Right Choice Securities Pvt Ltd,156.76,"4,632.07",162.44,18142.19,4.01
742,Right Horizons Financial Services Pvt Ltd,268.68,"17,147.90","2,448.24",31012.04,1.86
743,Right Returns,124.24,"3,273.08",810,18515.94,5.89
744,Rikhav Suresh Desai,149.69,"4,266.60","1,891.12",17340.03,4.28
745,RISK AND ASSET MANAGEMENT SOLUTIONS,176.17,"4,035.02","-1,490.78",16533.37,3.81
746,Ritesh D Sheth,90.87,"2,202.00",285.25,11143.00,5.32
747,RM ASSET ADVISORS LLP,174.28,"10,036.06","6,519.59",14212.41,1.84
748,RMS COLLECTIONS,36.55,"11,122.21","1,361.08",11166.28,0.96
749,Rohan Maurya,130.61,"3,193.47",704.98,14747.99,4.9
750,Rohit Anand Das,295.79,"12,268.01","-1,723.88",15708.59,1.34
751,Rohit Singh,100.49,29.21,-154.17,8834.13,274.47
752,Rohitashwa Kumbhkar,174.88,"22,426.85","4,309.97",19690.87,1.03
753,Roopa Venkatkrishnan,676.57,"31,342.07","1,938.52",89623.45,2.88
754,ROSY BLUE SECURITIES PVT. LTD.,21.98,20.09,"-1,464.93",13100.78,644.09
755,RPA FINANCIAL CONSULTANTS PRIVATE LIMITED,241.9,"10,618.64",-643.56,21275.69,2.08
756,RR Investors Capital Services Pvt Ltd.,593.12,"87,562.54","-14,062.89","           1,21,371.55 ",1.35
757,Ruby Financial Services Pvt Ltd,119.71,"3,806.28","1,319.31",11753.96,3.26
758,Ruchi Jain,85.47,"9,745.80",-280.31,10847.05,1.04
759,Rupam Mahapatra,124.14,"4,319.53",87.93,9576.45,2.29
760,Rushil Financial Services,298.64,"24,417.66",-232.99,40040.37,1.72
761,Russell Credit Limited,678.21,"          85,62,073.86","4,050.00","           3,33,151.16 ",0.01
762,RVN MANAGEMENT,97.84,"2,286.77",-419.3,9000.97,4.65
763,S & A Wealth Managers,204.04,"5,051.14","1,333.21",20044.12,4.15
764,S Babu Arunachalam,96.73,"3,686.41","1,314.36",8802.94,2.56
765,S Govinda Raju,114.95,"2,874.72",108.47,9330.12,3.25
766,S J Investment Services Pvt Ltd,"1,476.43","64,608.28",-962,"           1,36,368.09 ",2.03
767,S S Broking House & Consultants Pvt Ltd,145.09,"7,099.24","1,874.60",13201.37,2.06
768,S V FINANCIAL SERVICES,138.97,"8,899.82","2,756.09",17284.50,2.11
769,S.R. Investments,114.16,"6,356.58","1,476.51",12138.08,2.07
770,Sab Investments,154.95,"98,875.47","18,320.24",40749.47,0.5
771,Sach Investments,75.48,"3,912.57","1,933.90",11541.25,3.12
772,Sachin Shashikant Parekh,148.58,"7,814.91","2,602.05",16420.59,2.31
773,Sadashiv Arvind Phene,534.92,"14,302.19","2,292.81",52269.10,3.93
774,Safe Assets,538.42,"20,486.32",866.15,56421.17,2.85
775,Safe Investment & Financial Services,281.06,"7,364.91",736.81,27615.26,3.84
776,Saibal Biswas,182.89,"7,589.17","3,458.33",20483.63,3.03
777,Sajag Securities Private Limited,685.65,"35,162.72","6,266.72",66103.82,1.96
778,Saksham Securities Pvt Ltd,141.96,"3,693.59","1,319.34",14874.58,4.34
779,Saksham Wealth Solutions Private Limited,126.53,"6,011.34","2,828.17",15882.87,2.91
780,Salil B Kothari,314.62,"20,178.49","6,307.63",32288.50,1.77
781,Samir Vora,198.31,"12,321.35","-3,797.43",17749.25,1.3
782,Samruddhi Investment,173.92,"6,623.94","1,384.21",21417.68,3.4
783,Samsang Financial Consultants,185.78,"8,161.21","1,876.78",22031.52,2.82
784,Sanat Kacker,145.65,"2,709.66","1,118.54",17267.77,6.75
785,SANCTUM WEALTH MANAGEMENT PRIVATE LIMITED,"1,083.30","            1,46,865.39","-5,460.67","           1,55,068.87 ",1.36
786,Sandeep  Gupta,66.01,"13,319.24","4,190.29",19304.56,1.59
787,Sandeep Garg,101.13,"4,589.30",405.92,8677.28,2.03
788,Sandeep J Shukla,73.35,"2,598.57","1,215.37",10159.94,4.13
789,Sandeep Shah,134.65,"2,131.59","1,025.03",13945.49,6.82
790,Sandesh Shenoy,114.47,"20,002.85",470.55,11754.99,0.6
791,Sangam Investments,124.34,"2,800.50",781.19,15026.19,5.67
792,Sangeeta Milind Chitnis,194.29,"7,088.74","1,488.53",21030.06,3.06
793,Sanjay Mahendrakumar Nanavati,210.06,"9,654.40","1,533.40",24243.70,2.48
794,Santushti Capital LLP,132.95,"3,636.64",787.86,12025.51,3.48
795,Santwana Nandi,58.93,"1,648.68",789.54,5850.89,3.87
796,Sapient Wealth Advisors And Brokers Pvt Ltd,"1,285.00","            2,16,323.34","13,005.66","           2,24,991.20 ",1.28
797,Sapthagiri Portfolio Mgmt Private Limited,155.81,"92,965.42","9,937.92",28939.20,0.39
798,Sarsa Financial Advisory Services Ltd,104.35,"3,245.12","1,458.54",10623.17,3.58
799,SARTH WEALTH ADVISORS PRIVATE LIMITED,187.69,"7,719.55","4,057.70",17557.97,2.7
800,Sarvodaya Finadvisory Services Pvt Ltd,329.6,"15,713.74","-17,849.73",51597.22,2.92
801,Satish Arora,85.5,"3,546.98","1,764.13",10649.79,3.33
802,Satvik Securities Pvt.Ltd,313.45,                           -,"-68,119.72",54571.84,-
803,Satyen Girish Vakil,103.95,"4,536.82","-2,152.47",11552.66,2.17
804,SAURABH JAYANT SHAH HUF,177.57,15.5,"-2,720.48",18783.84,"1,109.46"
805,Saurabh Kumar Singh,168.97,"6,355.94",-436.59,12323.25,1.86
806,Save & Prosper Securities Pvt Ltd,255.14,"13,247.12","2,832.66",22709.85,1.97
807,Savitri Agrawal,155.56,"6,536.94","1,547.26",11003.59,1.84
808,SBICAP Securities Limited,464.1,"21,143.48","2,803.11",58526.75,2.71
809,Scripbox.Com India Pvt Ltd,854.77,"55,153.44","24,536.94",89249.40,1.84
810,Security Investments Limited,434.85,"13,975.33","1,784.83",60937.05,4.48
811,Seema Ramesh Nainani,123.19,"4,506.16","2,178.34",14312.47,3.48
812,Sejal Avanish Shah,95.67,"5,192.60","1,279.08",8712.04,2.26
813,Sewa Kaur Saini,32.65,"15,724.02","7,265.03",5386.08,1.17
814,SFIC Fiscal Services Pvt Ltd,107.58,"7,014.11",-96,16488.20,2.21
815,Shagun Sandeep Sutaria,131.96,"3,765.80","-13,442.22",16346.13,2.67
816,Shagun Sutaria Stock Broking Private Limited,807.85,"            2,65,740.82","35,428.55","           1,53,165.39 ",0.62
817,Shah & Shah Finsol Private Limited,396.01,"22,062.93","9,286.48",31444.63,1.61
818,Shah Digpal Hemant,109.44,"5,050.20",573.64,12878.07,2.66
819,Shalibhadra Master Investment Brokers LLP,519.81,"16,787.43","4,664.47",34976.14,2.49
820,Sharad Gupta,112.07,"3,129.48","1,630.21",14784.65,5.24
821,Sharekhan Limited,"3,075.43","            2,11,562.35","96,191.41","           2,93,007.17 ",1.61
822,Shashank Agarwal,203.36,"6,583.67",711.06,18959.65,2.93
823,Shashank Jain,140.47,"10,740.04","1,578.82",15522.71,1.56
824,Shashi Shekhar Chilana,92.87,"1,748.54",360.49,11046.44,6.3
825,Sheetal Sitaram Upadhyay,120.13,"3,046.70",533.28,10623.57,3.67
826,Shekhar Madhusudan Mahore,119.09,"2,664.66",739.59,11380.17,4.42
827,Shenoy Investment & Financial Consultants Pvt Ltd,108.81,"2,445.65",776.59,9259.27,3.92
828,Shifali Satsangee,376.11,"12,735.59","3,313.75",33626.08,2.86
829,Shivam Mehrotra,111.96,"91,780.16","-11,060.41",12358.12,0.09
830,Shivranjani Securities Company Pvt Ltd,967.8,"74,587.03",516.76,"           1,59,488.90 ",2.23
831,Shradha Gaurav Damwani,83.62,"5,949.79","4,671.33",2914.73,0.89
832,Shrambal Consultants Private Limited,106.36,"5,175.28","2,596.11",14487.56,3.1
833,Shree Consultants,83.25,"4,432.80",406.4,10069.34,2.35
834,Shree Sidvin Financial Services & Invest. Pvt. Ltd.,285.13,"15,224.86","4,187.54",30619.29,2.16
835,Shreeji Kosh Services,88.05,"15,639.90","4,349.63",13954.42,1.07
836,Shri Ashutosh Securities Private Limited,133.1,"7,618.67","1,902.91",12996.66,1.83
837,SHRI BALAJI CAPITAL,101.39,"4,948.75","1,293.73",8861.64,1.9
838,SHRI MASUN FINANCIAL SERVICES,168.79,"            9,94,529.77","3,185.03",34699.42,0.001
839,Shriram Fortune Solutions Ltd.,92.64,"3,568.16","1,211.72",13034.04,3.88
840,Shriram Insight Share Brokers Ltd,463.66,"            7,92,553.95",689.38,65838.04,0.08
841,Shubham Sanjay Damani,54.52,"12,436.77","1,333.94",6835.71,0.52
842,Shubhangi Gopal Pai,151.46,"15,156.76","4,998.37",18924.13,1.44
843,Shwetang Sanat Sheth,91.97,"3,806.78",869.06,9845.32,2.78
844,Shyam Singhania,96.52,"1,350.75",979.44,3526.20,0.1
845,Siddharam Gurusiddappa Kolkur,120.47,"5,554.02","1,461.92",10054.32,1.94
846,Siddharth Sharathkumar,118.38,"5,775.94","-2,600.74",12074.55,1.85
847,Sift Capital,790.87,"27,262.35","-1,500.50",58666.78,2.23
848,SILVERLINE WEALTH MANAGEMENT SERVICES,159.11,"2,624.60",-738.06,12552.02,4.97
849,SIMPLICITY INVESTING ADVISORS INDIA PVT LTD,86.75,"5,374.28","2,941.17",9817.94,2.1
850,Simpson & General Finance Company Limited,194.63,"41,668.34","-10,115.31",74445.38,1.72
851,Sinhasi Consultants Private Limited,87.06,"14,906.21","1,366.23",12891.41,0.96
852,SKCL Wealth Management Pvt Ltd,422.42,"            1,28,395.77","4,374.74",55974.61,0.4
853,SKM Management Services,336.48,862.37,"-5,240.72",33164.99,38.12
854,SKP Securities Limited,881.27,"57,769.92","-8,870.36","           1,23,906.26 ",2.1
855,SLA FINSOL PRIVATE LIMITED,653.09,"18,710.91","4,545.58",46406.49,3.29
856,SMARTVALUE EQUISEARCH PVT LTD,33.18,"17,900.34","7,966.34",8729.17,0.75
857,SMC Global Securities Limited,"2,020.63","            1,79,952.42","38,151.55","           2,78,744.93 ",1.59
858,SMC Investments And Advisors Limited,83.76,"6,024.52","-1,469.92",15798.71,2.31
859,SMR Consultancy Private Limited,219.5,"17,481.29",893.87,33671.52,1.93
860,Snazzy Wealth Creators,302.89,"46,750.21","7,652.20",43025.28,0.98
861,Soba Infosec Pvt Ltd,101.93,"5,517.15","1,935.21",14896.90,2.96
862,Solutions .,91.46,"7,954.24","1,917.01",9681.11,1.36
863,Sonal Rajesh Rawani,164.73,"1,193.83",-138.19,16070.75,13.73
864,Sonia Narang,110.03,"4,636.63",715.35,10579.23,2.38
865,Sonic Investments,178.41,"2,131.45","-6,687.19",23779.85,9.59
866,Sources Solutions India Pvt. Ltd.,176.2,"4,274.30","-1,419.24",12909.38,3.06
867,Sourendra Saha,84.51,"8,197.22","2,286.62",5222.02,0.74
868,SPA Capital Services Limited,"4,786.83","          95,27,031.95","          -4,21,109.75 ","         12,81,662.70",0.11
869,SPA GLOBAL PVT LTD,858.54,"          24,72,360.80","21,063.34","           2,43,140.03 ",0.1
870,SQUIRREL CONSULTING PVT LTD,168.49,"11,557.24","4,076.53",23977.52,2.72
871,Sri Kotyark Investments,118.15,"21,621.90","-3,096.13",19011.83,0.83
872,SRI KRISHNA CAPITAL,133.74,"4,686.83","2,307.84",15028.00,3.7
873,Sridharan Narasimachari Kilpakkam,90.11,473.3,-541.94,11646.37,24.36
874,Sriram Suryanarayanan,87.38,"2,438.92",743.73,10668.65,4.63
875,Srivari Investments,100.87,"2,375.02",739.42,11255.52,5.02
876,SRIVIDYA ENTERPRISES LLP,962.7,"          75,25,503.18","            9,51,083.94","           5,51,105.37 ",0.23
877,Standard Chartered Bank,"15,077.03","          11,35,521.84","-5,262.90","         17,90,496.12",1.52
878,Standard Chartered Securities (India) Limited,129.84,"1,819.56","-2,278.66",23866.58,13.02
879,State Bank of India,"48,757.77","          92,08,132.27","          15,36,820.81","         64,28,004.82",0.81
880,Stock Holding Corporation of India Limited,"1,000.62","            6,03,930.13","31,968.11","           1,02,880.61 ",0.18
881,Subhas Chakraborty,116.16,"2,221.40",609.18,10285.36,4.86
882,Subras Investments,153.69,"9,772.26",-124.25,20046.12,1.96
883,Sujash Securities Private Limited,216.57,"10,785.83",49.12,15259.41,1.48
884,Sujata Khushrav Kabraji,189.14,"22,721.09","5,018.57",27828.41,1.38
885,Sukanta Bhattacharjee,85.96,"2,574.28",719.14,9316.02,3.91
886,Suman Gupta,118.86,"2,931.55","1,760.67",9094.90,3.36
887,Suman Kumar Thakur,106.52,"3,663.59",380.2,14103.64,3.95
888,Sundaram Finance Limited,"1,842.57","87,641.20","31,332.57","           1,60,688.77 ",2.09
889,Sunder Gopal Roy,139.2,"4,872.70","2,503.54",9762.17,2.33
890,Sunil Bhanudas Kanade,71.5,"2,592.39","1,322.61",7776.72,3.44
891,Sunil Hindocha,86.9,"3,693.66","1,574.48",10757.58,3.16
892,Sunkersett Investment Intermediaries LLP,219.12,"8,379.97","3,868.11",15780.84,2.03
893,Suraj Prakash,228.43,"11,095.80","1,172.42",8578.26,0.93
894,SURAT COMMERCIAL PRIVATE LIMITED,107.66,"3,239.51","1,472.95",13398.61,4.51
895,Surendra Kumar Bagaria,100.34,"4,834.27","1,481.94",13129.41,2.96
896,Surendra Kumar Dugar & Co,139.12,"29,593.86","1,135.51",44762.07,1.67
897,SURVAM INVESTMENTS PRIVATE LIMITED,113.99,"19,727.39","6,915.61",7333.29,0.61
898,Sushil Financial Services Pvt Ltd,320.05,"62,292.64","5,804.81",40936.68,0.73
899,Suvarna Yogesh Shah,92.31,"3,388.75",317.76,9302.00,2.8
900,Suvridhi Capital Markets Private Ltd,492.57,"31,909.02","-14,017.45",66721.78,1.7
901,SVC CO OPERATIVE BANK LTD,79.67,"4,986.06","1,000.25",14093.75,2.95
902,Swan Investmentors Pvt Ltd,177.26,"9,661.92","4,558.79",16818.84,2.25
903,Swathi Investments,78.49,"2,943.87",967.17,11290.95,4.09
904,Sweety Dhaval Desai,100.98,"1,938.84",928.46,11002.73,6.13
905,SWS FINANCIAL SOLUTIONS PVT LTD,80.04,"13,664.74",701.54,11143.02,0.79
906,Sykes & Ray Equities (I) Ltd.,112.19,"24,139.88","3,635.66",17835.37,0.85
907,Syndicate Bank,91.56,"6,087.77","1,933.86",11685.52,2
908,Systematix Shares And Stocks (India) Ltd,195.03,"            1,18,974.61","-4,114.24",34409.45,0.26
909,Tandon And Mahindra Consultancy,233.85,"5,779.37","-1,114.08",34142.27,6.82
910,TAPARIA PRIVATE LIMITED,122.78,"6,151.15","1,654.28",20793.67,3.51
911,Tarla Pankaj Mavani,51.74,555.1,-150.8,4342.95,8.08
912,Tata Capital Financial Services Ltd.,663.24,"            1,75,990.26","-6,922.99",91020.02,0.47
913,Tata Securities Limited,537.33,"      4,71,62,476.26","          -2,20,236.70 ","           7,67,905.08 ",0.003
914,Tayal Capitals,160.8,"4,849.07","1,722.22",16452.69,3.63
915,TBNG Capital Advisors Pvt Ltd,95.18,"4,934.83","1,161.01",11730.39,2.65
916,TCM Advisory Pvt Ltd,143.2,"2,575.95",-676.03,15261.23,7.04
917,TG Financial Consultant,266.22,"22,312.55","9,167.36",40756.83,2.07
918,Thakker Nikhil Vasudev,115.6,"4,426.09","1,716.35",11091.16,2.8
919,The Cosmos Co-Operative Bank Ltd,66.88,"6,987.16","2,541.81",10591.81,1.63
920,The Federal Bank Ltd.,447.83,"43,235.95","17,604.60",53796.02,1.44
921,The Karnataka Bank Limited,156.22,"13,515.51","8,459.79",21986.25,1.9
922,THE PORTFOLIO SHOP FINANCIAL SERVICES,113.7,"3,771.86","-6,381.41",8355.95,0.95
923,The Saraswat Co-Operative Bank Ltd,127.41,"13,771.65","8,111.74",13470.46,1.19
924,THEFINANCIALMALL PRIVATE LIMITED,139.43,"6,316.03","2,262.74",14909.27,2.73
925,Think Financial & Insurance Cons Pvt Ltd,636.19,"            1,25,398.89","8,386.00",80157.32,0.69
926,Thirukochi Financial Consultants Pvt Ltd,102.29,"3,082.98",803.41,8057.97,2.8
927,Thousand Lights Investments Pvt. Ltd.,107.72,"2,926.39",665.3,12130.08,4.36
928,Three Cheers,190.07,"6,213.00","1,844.76",23234.38,3.95
929,THREE CUBE WEALTH ADVISORY LLP,"1,408.35","            5,16,177.22","-9,126.64","           1,68,791.00 ",0.29
930,TIPS,138,"3,522.48",947.24,10157.37,3.37
931,Trade Net Wealth Managers Pvt Ltd,325.41,"            3,50,280.37","6,612.98",48154.18,0.11
932,TRANQUIL CAPITAL,159.6,"12,047.05","5,864.19",19385.21,1.95
933,Transcend Consulting (India) Pvt Ltd,69.24,"6,765.80","1,985.96",11186.61,1.75
934,Transcend Investment Advisors Pvt Ltd,208.16,"10,070.73",701.77,19877.21,2.11
935,TRINITAS WEALTH PLANNERS LLP,117.37,"4,702.31","1,330.05",12941.10,3.07
936,TRISKAIDEKAPHILLIA SOLUTIONS PRIVATE LIMITED,111.5,"23,334.63","6,329.45",11071.46,0.65
937,TRUFID INVESTMENT ADVISORS PVT LTD,36.48,"18,665.59","10,575.60",8842.21,0.94
938,Trust-Plutus Wealth Managers (India) Pvt Ltd,"1,134.08","            1,72,820.09","-8,823.58","           1,69,559.77 ",0.96
939,Tumma Balraj,109.04,"4,637.15","1,965.44",9211.45,2.21
940,Tushar Jitendra Shah,90.56,"10,307.24",714.45,13068.15,1.35
941,U.R. Financial Consultants,61.13,"7,373.09","3,117.98",10148.70,1.63
942,Ultimate Wealth Managers Pvt Ltd,339.34,"9,362.87","2,382.90",35557.50,3.97
943,Umesh Kumar Gupta,110.49,"4,976.20",792.09,10328.29,2.21
944,Unifi Financial Pvt Ltd,55.96,"            2,56,632.06","11,204.34",33168.27,0.14
945,Union Bank of India,"1,816.99","            2,62,530.87","42,592.74","           3,23,369.02 ",1.29
946,UNMAJ ASSOCIATES LLP,"1,001.63","            1,08,966.48","-78,879.92","           1,14,355.37 ",0.53
